"Time_Iter","Outer_Iter","Inner_Iter",     "rms[T]"     
          0,           0,         467,      -8.351879877
          0,           0,         468,      -8.353562227
          0,           0,         469,      -8.355244027
          0,           0,         470,      -8.356925282
          0,           0,         471,      -8.358605997
          0,           0,         472,      -8.360286179
          0,           0,         473,      -8.361965834
          0,           0,         474,      -8.363644966
          0,           0,         475,      -8.365323582
          0,           0,         476,      -8.367001688
          0,           0,         477,      -8.368679288
          0,           0,         478,      -8.370356389
          0,           0,         479,      -8.372032995
          0,           0,         480,      -8.373709112
          0,           0,         481,      -8.375384746
          0,           0,         482,      -8.377059901
          0,           0,         483,      -8.378734582
          0,           0,         484,      -8.380408796
          0,           0,         485,      -8.382082546
          0,           0,         486,      -8.383755839
          0,           0,         487,      -8.385428678
          0,           0,         488,      -8.387101069
          0,           0,         489,      -8.388773017
          0,           0,         490,      -8.390444526
          0,           0,         491,      -8.392115601
          0,           0,         492,      -8.393786247
          0,           0,         493,      -8.395456469
          0,           0,         494,      -8.397126271
          0,           0,         495,      -8.398795658
          0,           0,         496,      -8.400464634
          0,           0,         497,      -8.402133204
          0,           0,         498,      -8.403801372
          0,           0,         499,      -8.405469143
          0,           0,         500,      -8.407136521
          0,           0,         501,      -8.408803509
          0,           0,         502,      -8.410470113
          0,           0,         503,      -8.412136337
          0,           0,         504,      -8.413802184
          0,           0,         505,      -8.415467659
          0,           0,         506,      -8.417132766
          0,           0,         507,      -8.418797509
          0,           0,         508,      -8.420461892
          0,           0,         509,      -8.422125918
          0,           0,         510,      -8.423789592
          0,           0,         511,      -8.425452918
          0,           0,         512,      -8.427115899
          0,           0,         513,      -8.428778539
          0,           0,         514,      -8.430440841
          0,           0,         515,      -8.432102811
          0,           0,         516,       -8.43376445
          0,           0,         517,      -8.435425763
          0,           0,         518,      -8.437086754
          0,           0,         519,      -8.438747425
          0,           0,         520,      -8.440407781
          0,           0,         521,      -8.442067824
          0,           0,         522,      -8.443727559
          0,           0,         523,      -8.445386988
          0,           0,         524,      -8.447046115
          0,           0,         525,      -8.448704943
          0,           0,         526,      -8.450363476
          0,           0,         527,      -8.452021716
          0,           0,         528,      -8.453679668
          0,           0,         529,      -8.455337333
          0,           0,         530,      -8.456994716
          0,           0,         531,      -8.458651819
          0,           0,         532,      -8.460308646
          0,           0,         533,      -8.461965199
          0,           0,         534,      -8.463621481
          0,           0,         535,      -8.465277496
          0,           0,         536,      -8.466933246
          0,           0,         537,      -8.468588734
          0,           0,         538,      -8.470243964
          0,           0,         539,      -8.471898937
          0,           0,         540,      -8.473553657
